cod;nome;período;valor
25;PB;2015;14
41;PR;2015;193
51;MT;2015;30
31;MG;2015;139
42;SC;2015;79
26;PE;2015;32
32;ES;2016;18
13;AM;2016;22
53;DF;2016;11
51;MT;2016;26
41;PR;2016;190
35;SP;2016;302
28;SE;2016;5
16;AP;2016;2
23;CE;2016;14
17;TO;2016;10
42;SC;2016;80
26;PE;2016;39
22;PI;2016;3
21;MA;2016;24
15;PA;2016;14
29;BA;2016;50
43;RS;2016;250
31;MG;2016;122
25;PB;2016;15
14;RR;2016;14
27;AL;2016;6
52;GO;2016;54
50;MS;2016;34
33;RJ;2016;142
12;AC;2016;4
11;RO;2016;18
24;RN;2016;19
42;SC;2017;86
22;PI;2017;9
29;BA;2017;55
13;AM;2017;16
14;RR;2017;11
53;DF;2017;12
32;ES;2017;26
52;GO;2017;59
33;RJ;2017;136
12;AC;2017;9
23;CE;2017;32
50;MS;2017;28
51;MT;2017;22
16;AP;2017;2
28;SE;2017;12
11;RO;2017;22
24;RN;2017;17
43;RS;2017;238
31;MG;2017;122
15;PA;2017;21
35;SP;2017;321
17;TO;2017;7
26;PE;2017;50
41;PR;2017;207
21;MA;2017;12
25;PB;2017;11
27;AL;2017;1
11;RO;2018;14
31;MG;2018;105
17;TO;2018;9
27;AL;2018;3
41;PR;2018;146
28;SE;2018;6
21;MA;2018;11
16;AP;2018;2
29;BA;2018;44
42;SC;2018;74
26;PE;2018;46
15;PA;2018;32
43;RS;2018;201
33;RJ;2018;130
25;PB;2018;10
14;RR;2018;26
50;MS;2018;28
53;DF;2018;18
13;AM;2018;15
51;MT;2018;16
24;RN;2018;14
35;SP;2018;267
12;AC;2018;6
52;GO;2018;63
22;PI;2018;5
23;CE;2018;47
32;ES;2018;20
50;MS;2019;35
31;MG;2019;86
12;AC;2019;5
52;GO;2019;43
41;PR;2019;145
25;PB;2019;11
14;RR;2019;14
33;RJ;2019;86
43;RS;2019;177
15;PA;2019;21
26;PE;2019;45
42;SC;2019;86
17;TO;2019;3
27;AL;2019;0
23;CE;2019;21
29;BA;2019;30
16;AP;2019;1
21;MA;2019;19
28;SE;2019;3
53;DF;2019;18
22;PI;2019;11
32;ES;2019;13
24;RN;2019;11
51;MT;2019;27
13;AM;2019;25
11;RO;2019;11
35;SP;2019;249
