cod;nome;período;valor
16;AP;1994;141.4
17;TO;1994;30.1
21;MA;1994;19.5
22;PI;1994;13.7
23;CE;1994;32.1
24;RN;1994;28
25;PB;1994;44
26;PE;1994;128.5
27;AL;1994;64.2
28;SE;1994;74.4
29;BA;1994;51.3
31;MG;1994;19.6
32;ES;1994;122.3
33;RJ;1994;166.7
35;SP;1994;119.9
41;PR;1994;41.5
42;SC;1994;18.9
53;DF;1994;117.1
43;RS;1994;47.2
50;MS;1994;76.6
51;MT;1994;31.3
12;AC;1995;74.4
53;DF;1995;125.6
52;GO;1995;45.2
51;MT;1995;50.5
50;MS;1995;95.7
43;RS;1995;47.9
42;SC;1995;22.1
41;PR;1995;47.5
35;SP;1995;128.4
33;RJ;1995;222.4
32;ES;1995;129.5
31;MG;1995;22.1
29;BA;1995;41.5
28;SE;1995;49.5
27;AL;1995;70.3
26;PE;1995;124.6
25;PB;1995;44.7
24;RN;1995;27.1
23;CE;1995;45.4
22;PI;1995;12.2
21;MA;1995;22.8
17;TO;1995;24.6
16;AP;1995;153
15;PA;1995;43
14;RR;1995;86.6
13;AM;1995;66.8
11;RO;1995;59.7
11;RO;1996;81.04
53;DF;1996;113.09
52;GO;1996;48.07
51;MT;1996;67.77
50;MS;1996;108.9
43;RS;1996;50.01
42;SC;1996;22.79
41;PR;1996;51.94
35;SP;1996;138.59
33;RJ;1996;222.53
32;ES;1996;131.18
31;MG;1996;21.99
29;BA;1996;51.57
28;SE;1996;45.84
27;AL;1996;78.49
26;PE;1996;139.36
25;PB;1996;55.22
24;RN;1996;26.9
23;CE;1996;45.72
22;PI;1996;12.92
21;MA;1996;21.04
17;TO;1996;33.63
16;AP;1996;176.32
15;PA;1996;70.12
14;RR;1996;145.4
13;AM;1996;94.43
12;AC;1996;94.55
50;MS;1997;115.26
12;AC;1997;132.81
13;AM;1997;108.53
14;RR;1997;159.28
15;PA;1997;92.12
16;AP;1997;147.64
17;TO;1997;30.13
21;MA;1997;20.77
22;PI;1997;20.66
23;CE;1997;59.5
24;RN;1997;36.25
25;PB;1997;59.13
26;PE;1997;205.41
27;AL;1997;70.83
28;SE;1997;47.03
29;BA;1997;60.35
31;MG;1997;25.08
32;ES;1997;194.03
33;RJ;1997;240.34
35;SP;1997;153.22
41;PR;1997;60.33
42;SC;1997;26.13
43;RS;1997;65.44
51;MT;1997;91.31
52;GO;1997;49.43
53;DF;1997;127.53
11;RO;1997;137.53
52;GO;1998;43.87
11;RO;1998;156.86
12;AC;1998;120.48
13;AM;1998;122.4
14;RR;1998;243.14
15;PA;1998;85.32
16;AP;1998;157
