cod;nome;período;valor
35;SP;2011;3.77
33;RJ;2011;7.55
32;ES;2011;17.81
31;MG;2011;7.42
29;BA;2011;9.98
28;SE;2011;9.24
27;AL;2011;13.44
26;PE;2011;9.49
25;PB;2011;12.96
24;RN;2011;8.18
23;CE;2011;6.85
22;PI;2011;2.52
21;MA;2011;5.72
17;TO;2011;11.39
16;AP;2011;9.8
12;AC;2011;8.44
13;AM;2011;5.39
14;RR;2011;5.86
15;PA;2011;7.14
14;RR;2012;7.19
53;DF;2012;9.28
52;GO;2012;14.85
51;MT;2012;10.97
50;MS;2012;7.24
43;RS;2012;8.2
42;SC;2012;4.62
41;PR;2012;10.06
35;SP;2012;4.11
33;RJ;2012;6.73
32;ES;2012;16.82
31;MG;2012;8.42
29;BA;2012;10.02
28;SE;2012;7.58
27;AL;2012;14.37
26;PE;2012;7.82
25;PB;2012;11.35
24;RN;2012;5.33
23;CE;2012;7.77
22;PI;2012;4.66
21;MA;2012;4.39
17;TO;2012;8.38
16;AP;2012;7.68
15;PA;2012;10.24
13;AM;2012;8.81
12;AC;2012;5.55
11;RO;2012;9.55
31;MG;2013;7.2
29;BA;2013;9.88
28;SE;2013;8.56
27;AL;2013;13.76
26;PE;2013;9.93
25;PB;2013;12.45
24;RN;2013;9.14
23;CE;2013;12.19
22;PI;2013;4.74
21;MA;2013;6.01
17;TO;2013;11.3
16;AP;2013;7.53
15;PA;2013;8.32
14;RR;2013;12.73
13;AM;2013;5.62
42;SC;2013;5.07
12;AC;2013;10.96
41;PR;2013;9.58
35;SP;2013;4.06
33;RJ;2013;7.26
43;RS;2013;6.36
32;ES;2013;16.45
50;MS;2013;6.64
51;MT;2013;6.2
52;GO;2013;13.61
53;DF;2013;8.68
11;RO;2013;8.31
52;GO;2014;15.35
11;RO;2014;8.33
12;AC;2014;9.02
13;AM;2014;6.09
14;RR;2014;6.96
15;PA;2014;10.33
16;AP;2014;11.98
17;TO;2014;6.86
21;MA;2014;6.57
22;PI;2014;5.53
23;CE;2014;11.23
24;RN;2014;10.75
25;PB;2014;11.21
26;PE;2014;9.4
27;AL;2014;14.9
28;SE;2014;8.87
29;BA;2014;7.57
31;MG;2014;6.67
32;ES;2014;14.21
33;RJ;2014;8.21
35;SP;2014;3.99
41;PR;2014;8.6
42;SC;2014;4.83
43;RS;2014;5.89
50;MS;2014;11.79
51;MT;2014;11.7
53;DF;2014;6.39
52;GO;2015;12.1
11;RO;2015;11.28
12;AC;2015;9.79
13;AM;2015;9.56
14;RR;2015;10.96
15;PA;2015;9.67
16;AP;2015;5.41
17;TO;2015;7.81
21;MA;2015;5.96
22;PI;2015;6.8
23;CE;2015;8.35
24;RN;2015;8.99
25;PB;2015;11.32
26;PE;2015;8.6
27;AL;2015;8.91
28;SE;2015;7.54
29;BA;2015;7.83
31;MG;2015;6.61
32;ES;2015;11.33
33;RJ;2015;7.01
35;SP;2015;3.24
41;PR;2015;6.5
42;SC;2015;4.13
43;RS;2015;7.83
50;MS;2015;6.98
51;MT;2015;11.5
53;DF;2015;5.36
12;AC;2016;11.38
53;DF;2016;7.25
52;GO;2016;11.67
51;MT;2016;8.61
50;MS;2016;7.88
13;AM;2016;9.27
14;RR;2016;12.1
11;RO;2016;6.25
15;PA;2016;11.38
16;AP;2016;4.39
17;TO;2016;8.73
21;MA;2016;5.87
22;PI;2016;4.17
23;CE;2016;8.62
24;RN;2016;11.25
25;PB;2016;9
26;PE;2016;10.95
27;AL;2016;9.13
28;SE;2016;7.17
29;BA;2016;10.12
31;MG;2016;5.97
32;ES;2016;7.64
33;RJ;2016;7.02
35;SP;2016;3.02
41;PR;2016;5.92
42;SC;2016;4.48
43;RS;2016;9.54
27;AL;2017;9.576
14;RR;2017;17.155
13;AM;2017;7.939
12;AC;2017;13.765
11;RO;2017;9.152
16;AP;2017;10.269
17;TO;2017;10.123
21;MA;2017;5.244
22;PI;2017;4.951
23;CE;2017;16.987
24;RN;2017;19.63
25;PB;2017;8.249
26;PE;2017;11.384
15;PA;2017;11.308
28;SE;2017;12.644
29;BA;2017;11.014
31;MG;2017;5.241
32;ES;2017;12.2
33;RJ;2017;7.177
35;SP;2017;3.027
41;PR;2017;7.279
42;SC;2017;5.548
43;RS;2017;9.055
50;MS;2017;7.557
51;MT;2017;7.397
52;GO;2017;12.887
53;DF;2017;4.076
25;PB;2018;7.36
11;RO;2018;7.28
12;AC;2018;11.67
13;AM;2018;12.36
14;RR;2018;24.48
15;PA;2018;12.33
16;AP;2018;5.19
17;TO;2018;9.69
21;MA;2018;4.66
22;PI;2018;5.46
23;CE;2018;22.68
24;RN;2018;10.83
26;PE;2018;8.92
27;AL;2018;6.19
28;SE;2018;3.57
29;BA;2018;10.75
31;MG;2018;5.57
32;ES;2018;9.23
33;RJ;2018;8.46
35;SP;2018;2.75
41;PR;2018;6.29
42;SC;2018;4.93
43;RS;2018;8.55
50;MS;2018;8.22
51;MT;2018;8
52;GO;2018;11.16
53;DF;2018;3.69
42;SC;2019;5.8
12;AC;2019;9.7
13;AM;2019;10.73
14;RR;2019;14.72
15;PA;2019;9.23
11;RO;2019;6.03
16;AP;2019;6.93
17;TO;2019;7.31
21;MA;2019;5.3
22;PI;2019;4.35
23;CE;2019;9.74
24;RN;2019;10.51
53;DF;2019;4.93
25;PB;2019;4.63
26;PE;2019;8.54
27;AL;2019;9.77
28;SE;2019;6.54
29;BA;2019;10.67
31;MG;2019;4.19
32;ES;2019;6.93
52;GO;2019;6.97
51;MT;2019;7.39
50;MS;2019;5.66
43;RS;2019;7.6
33;RJ;2019;4.38
35;SP;2019;2.39
41;PR;2019;5.68
